State,Domain,Reporting Program,Measure Name,Measure Abbreviation,Measure Type,Rate Definition,FFY,Population,Methodology,State Rate,Number of States Reporting,Median,Bottom Quartile,Top Quartile,Notes,Source,State Specific Comments,Rate Used in Calculating State Mean and Median
Washington,Care of Acute and Chronic Conditions,Child Core Set,Asthma Medication Ratio: Ages 5 to 18,AMR-CH,Higher rates are better for this measure,Percentage with Persistent Asthma who had a Ratio of Controller Medications to Total Asthma Medications of 0.50 or Greater: Ages 12 to 18,2019,Medicaid & CHIP,Administrative,54.8,39,64.6,59.9,68.7,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rates include managed care population (5 MCOs), representing more than 95 percent of the population. Rates exclude FFS and PCCM populations, representing less than 5 percent of the population. Rates also exclude managed care populations who met the continuous eligibility requirement for Medicaid or CHIP but who were not enrolled in a single plan during the continuous enrollment period. Rates were validated by the state's EQRO.",Yes
Washington,Care of Acute and Chronic Conditions,Child Core Set,Asthma Medication Ratio: Ages 5 to 18,AMR-CH,Higher rates are better for this measure,Percentage with Persistent Asthma who had a Ratio of Controller Medications to Total Asthma Medications of 0.50 or Greater: Ages 5 to 18,2019,Medicaid & CHIP,Administrative,60.6,40,69.4,65.6,74,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rates include managed care population (5 MCOs), representing more than 95 percent of the population. Rates exclude FFS and PCCM populations, representing less than 5 percent of the population. Rates also exclude managed care populations who met the continuous eligibility requirement for Medicaid or CHIP but who were not enrolled in a single plan during the continuous enrollment period. Rates were validated by the state's EQRO.",Yes
Washington,Dental and Oral Health Services,Child Core Set,Dental Sealants for 6-9 Year-Old Children at Elevated Caries Risk,SEAL-CH,Higher rates are better for this measure,Percentage at Elevated Risk of Dental Caries (Moderate or High Risk) who Received a Sealant on a Permanent First Molar Tooth: Ages 6 to 9,2019,Medicaid & CHIP,Administrative,24.2,35,22.7,19.1,25.3,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rate includes FFS, PCCM, and managed care populations (5 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles and children with full third-party liability. Rate includes three-year lookback for assessing elevated risk.",Yes
Washington,Dental and Oral Health Services,Child Core Set,Percentage of Eligibles Who Received Preventive Dental Services: Ages 1 to 20,PDENT-CH,Higher rates are better for this measure,Percentage Enrolled in Medicaid or Medicaid Expansion CHIP Programs for at least 90 Continuous Days with at Least 1 Preventive Dental Service: Ages 1 to 20,2019,Medicaid only,Administrative,56.6,51,49.1,44.1,52.1,,"Mathematica analysis of FFY 2019 Form CMS-416 reports (annual EPSDT report), Lines 1b and 12b as of July 1, 2020.",None,Yes
Washington,Maternal and Perinatal Health,Child Core Set,Contraceptive Care: All Women Ages 15 to 20,CCW-CH,Higher rates are better for this measure,Percentage of Women at Risk for Unintended Pregnancy Provided a Most Effective or Moderately Effective Method of Contraception: Ages 15 to 20,2019,Medicaid & CHIP,Administrative,30.1,28,29.5,20.7,32.6,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rates include FFS, PCCM, and managed care populations (5 MCOs). Rates exclude Medicare-Medicaid Dual Eligibles and women with full third-party liability. State used Generic Product Identifier (GPI) codes instead of National Drug Codes (NDCs) to identify the applicable NDCs for specific contraceptive methods. State did not use S4993 alone as indication of oral contraception, because the state also uses this code to indicate emergency contraception. State also required family planning (FP) modifier for 11981 and 11983 to verify contraceptive use.",Yes
Washington,Maternal and Perinatal Health,Child Core Set,Contraceptive Care: All Women Ages 15 to 20,CCW-CH,Higher rates are better for this measure,Percentage of Women at Risk for Unintended Pregnancy Provided a Long-Acting Reversible Method of Contraception: Ages 15 to 20,2019,Medicaid & CHIP,Administrative,5.9,27,4.8,3.4,5.9,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rates include FFS, PCCM, and managed care populations (5 MCOs). Rates exclude Medicare-Medicaid Dual Eligibles and women with full third-party liability. State used Generic Product Identifier (GPI) codes instead of National Drug Codes (NDCs) to identify the applicable NDCs for specific contraceptive methods. State did not use S4993 alone as indication of oral contraception, because the state also uses this code to indicate emergency contraception. State also required family planning (FP) modifier for 11981 and 11983 to verify contraceptive use.",Yes
Washington,Maternal and Perinatal Health,Child Core Set,Contraceptive Care: Postpartum Women Ages 15 to 20,CCP-CH,Higher rates are better for this measure,Percentage of Postpartum Women Provided a Most Effective or Moderately Effective Method of Contraception Within 3 Days of Delivery: Ages 15 to 20,2019,Medicaid & CHIP,Administrative,2.4,32,4.1,2.4,7.4,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rates include FFS, PCCM, and managed care populations (5 MCOs). Rates exclude Medicare-Medicaid Dual Eligibles and women with full third-party liability. State used Generic Product Identifier (GPI) codes instead of National Drug Codes (NDCs) to identify the applicable NDCs for specific contraceptive methods and did not use the ICD-10-CM codes that were added for FFY 2019 to identify births. State did not use S4993 alone as indication of oral contraception, because the state also uses this code to indicate emergency contraception. State also required family planning (FP) modifier for 11981 and 11983 to verify contraceptive use.",Yes
Washington,Maternal and Perinatal Health,Child Core Set,Contraceptive Care: Postpartum Women Ages 15 to 20,CCP-CH,Higher rates are better for this measure,Percentage of Postpartum Women Provided a Most Effective or Moderately Effective Method of Contraception Within 60 Days of Delivery: Ages 15 to 20,2019,Medicaid & CHIP,Administrative,42.4,32,41.8,31.7,47.5,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rates include FFS, PCCM, and managed care populations (5 MCOs). Rates exclude Medicare-Medicaid Dual Eligibles and women with full third-party liability. State used Generic Product Identifier (GPI) codes instead of National Drug Codes (NDCs) to identify the applicable NDCs for specific contraceptive methods and did not use the ICD-10-CM codes that were added for FFY 2019 to identify births. State did not use S4993 alone as indication of oral contraception, because the state also uses this code to indicate emergency contraception. State also required family planning (FP) modifier for 11981 and 11983 to verify contraceptive use.",Yes
Washington,Maternal and Perinatal Health,Child Core Set,Contraceptive Care: Postpartum Women Ages 15 to 20,CCP-CH,Higher rates are better for this measure,Percentage of Postpartum Women Provided a Long-Acting Reversible Method of Contraception Within 3 Days of Delivery: Ages 15 to 20,2019,Medicaid & CHIP,Administrative,0.8,32,2,0.8,4,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rates include FFS, PCCM, and managed care populations (5 MCOs). Rates exclude Medicare-Medicaid Dual Eligibles and women with full third-party liability. State used Generic Product Identifier (GPI) codes instead of National Drug Codes (NDCs) to identify the applicable NDCs for specific contraceptive methods and did not use the ICD-10-CM codes that were added for FFY 2019 to identify births. State did not use S4993 alone as indication of oral contraception, because the state also uses this code to indicate emergency contraception. State also required family planning (FP) modifier for 11981 and 11983 to verify contraceptive use.",Yes
Washington,Maternal and Perinatal Health,Child Core Set,Contraceptive Care: Postpartum Women Ages 15 to 20,CCP-CH,Higher rates are better for this measure,Percentage of Postpartum Women Provided a Long-Acting Reversible Method of Contraception Within 60 Days of Delivery: Ages 15 to 20,2019,Medicaid & CHIP,Administrative,19.7,32,15.8,11.5,19.6,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rates include FFS, PCCM, and managed care populations (5 MCOs). Rates exclude Medicare-Medicaid Dual Eligibles and women with full third-party liability. State used Generic Product Identifier (GPI) codes instead of National Drug Codes (NDCs) to identify the applicable NDCs for specific contraceptive methods and did not use the ICD-10-CM codes that were added for FFY 2019 to identify births. State did not use S4993 alone as indication of oral contraception, because the state also uses this code to indicate emergency contraception. State also required family planning (FP) modifier for 11981 and 11983 to verify contraceptive use.",Yes
Washington,Maternal and Perinatal Health,Child Core Set,"Live Births Weighing Less Than 2,500 Grams",LBW-CH,Lower rates are better for this measure,"Percentage of Live Births that Weighed Less Than 2,500 Grams",2019,Medicaid only,Administrative,7.4,51,9.5,10.7,8.5,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020 as well as the Centers for Disease Control and Prevention Wide-ranging ONline Data for Epidemiologic Research (CDC WONDER) data.",CMS calculated rate using CDC WONDER data.,Yes
Washington,Maternal and Perinatal Health,Child Core Set,Prenatal and Postpartum Care: Timeliness of Prenatal Care,PPC-CH,Higher rates are better for this measure,Percentage of Women Delivering a Live Birth with a Prenatal Care Visit in the First Trimester or within 42 Days of Enrollment in Medicaid or CHIP,2019,Medicaid & CHIP,Administrative,80.6,42,80.7,68.1,85.7,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rate includes FFS, PCCM, and managed care populations (5 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles and those with full third-party liability. State used vital records as an additional source for indication of first trimester care or date of first prenatal visit. State evaluated first trimester based on gestational age at birth in addition to the specified 176-280 days before delivery. Denominator excludes records with missing birth certificate information about when prenatal care began that also had no prenatal care claims within 42 days of Medicaid enrollment (about 4.9 percent of births). Rate was calculated using the 15th of the month as the eligibility start date. Rate includes the following taxonomy codes as service provider to identify prenatal care and not emergent care: Family Medicine, General Practice, OB/GYN, Maternal & Fetal Medicine, Midwife, Lay Midwife, Advanced Practice Midwife, Nurse Practitioner, Family Nurse Practitioner, Women's Health Nurse Practitioner, OB/GYN Nurse Practitioner, Primary Care Nurse Practitioner, Physician Assistant, and Physician Assistant-Medical.",Yes
Washington,Primary Care Access and Preventive Care,Child Core Set,Adolescent Well-Care Visits: Ages 12 to 21,AWC-CH,Higher rates are better for this measure,Percentage with at Least 1 Well-Care Visit with a Primary Care Practitioner or Obstetrician/Gynecologist: Ages 12 to 21,2019,Medicaid & CHIP,Hybrid,46.6,49,50.6,41.7,56.7,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rate includes managed care population (5 MCOs), representing more than 95 percent of the population. Rate excludes FFS and PCCM populations, representing less than 5 percent of the population. Rate also excludes managed care populations who met the continuous eligibility requirement for Medicaid or CHIP but who were not enrolled in a single plan during the continuous enrollment period. Denominator is the sample size; measure-eligible population is 262,358. Rate was validated by the state's EQRO.",Yes
Washington,Primary Care Access and Preventive Care,Child Core Set,Childhood Immunization Status: Age 2,CIS-CH,Higher rates are better for this measure,"Percentage who had a Measles, Mumps, and Rubella (MMR) Vaccination by their Second Birthday",2019,Medicaid & CHIP,Hybrid,87.3,41,87.6,85.9,89.5,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rates include managed care population (5 MCOs), representing more than 95 percent of the population. Rates exclude FFS and PCCM populations, representing less than 5 percent of the population. Rates also exclude managed care populations who met the continuous eligibility requirement for Medicaid or CHIP but who were not enrolled in a single plan during the continuous enrollment period. Denominator is the sample size; measure-eligible population is 35,201. Administrative data sources are claims/encounters and state immunization registry. Rates were validated by the state's EQRO.",Yes
Washington,Primary Care Access and Preventive Care,Child Core Set,Childhood Immunization Status: Age 2,CIS-CH,Higher rates are better for this measure,Percentage Up-to-Date on Immunizations (Combination 3) by their Second Birthday,2019,Medicaid & CHIP,Hybrid,70.0,43,68.8,63.1,72.3,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rates include managed care population (5 MCOs), representing more than 95 percent of the population. Rates exclude FFS and PCCM populations, representing less than 5 percent of the population. Rates also exclude managed care populations who met the continuous eligibility requirement for Medicaid or CHIP but who were not enrolled in a single plan during the continuous enrollment period. Denominator is the sample size; measure-eligible population is 35,201. Administrative data sources are claims/encounters and state immunization registry. Rates were validated by the state's EQRO.",Yes
Washington,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months to 19 Years,CAP-CH,Higher rates are better for this measure,Percentage with a PCP Visit in the Past Year: Ages 12 to 24 Months,2019,Medicaid & CHIP,Administrative,96.8,47,95.5,94.4,96.6,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rates include managed care population (5 MCOs), representing more than 95 percent of the population. Rates exclude FFS and PCCM populations, representing less than 5 percent of the population. Rates also exclude managed care populations who met the continuous eligibility requirement for Medicaid or CHIP but who were not enrolled in a single plan during the continuous enrollment period. Rates were validated by the state's EQRO.",Yes
Washington,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months to 19 Years,CAP-CH,Higher rates are better for this measure,Percentage with a PCP Visit in the Past Year: Ages 25 Months to 6 Years,2019,Medicaid & CHIP,Administrative,86.6,47,87.7,85.7,90.1,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rates include managed care population (5 MCOs), representing more than 95 percent of the population. Rates exclude FFS and PCCM populations, representing less than 5 percent of the population. Rates also exclude managed care populations who met the continuous eligibility requirement for Medicaid or CHIP but who were not enrolled in a single plan during the continuous enrollment period. Rates were validated by the state's EQRO.",Yes
Washington,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months to 19 Years,CAP-CH,Higher rates are better for this measure,Percentage with a PCP Visit in the Past Two Years: Ages 7 to 11 Years,2019,Medicaid & CHIP,Administrative,89.9,47,91.1,89.1,93.6,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rates include managed care population (5 MCOs), representing more than 95 percent of the population. Rates exclude FFS and PCCM populations, representing less than 5 percent of the population. Rates also exclude managed care populations who met the continuous eligibility requirement for Medicaid or CHIP but who were not enrolled in a single plan during the continuous enrollment period. Rates were validated by the state's EQRO.",Yes
Washington,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months to 19 Years,CAP-CH,Higher rates are better for this measure,Percentage with a PCP Visit in the Past Two Years: Ages 12 to 19 Years,2019,Medicaid & CHIP,Administrative,89.7,47,90.3,88.2,92.7,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rates include managed care population (5 MCOs), representing more than 95 percent of the population. Rates exclude FFS and PCCM populations, representing less than 5 percent of the population. Rates also exclude managed care populations who met the continuous eligibility requirement for Medicaid or CHIP but who were not enrolled in a single plan during the continuous enrollment period. Rates were validated by the state's EQRO.",Yes
Washington,Primary Care Access and Preventive Care,Child Core Set,Chlamydia Screening in Women Ages 16 to 20,CHL-CH,Higher rates are better for this measure,Percentage of Sexually Active Women Screened for Chlamydia: Ages 16 to 20,2019,Medicaid & CHIP,Administrative,49.2,47,49.9,44.7,58.3,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rate includes managed care population (5 MCOs), representing more than 95 percent of the population. Rate excludes FFS and PCCM populations, representing less than 5 percent of the population. Rate also excludes managed care populations who met the continuous eligibility requirement for Medicaid or CHIP but who were not enrolled in a single plan during the continuous enrollment period. Rate was validated by the state's EQRO.",Yes
Washington,Primary Care Access and Preventive Care,Child Core Set,Immunizations for Adolescents: Age 13,IMA-CH,Higher rates are better for this measure,Percentage Completing the Human Papillomavirus (HPV) Vaccine Series by Their 13th Birthday,2019,Medicaid & CHIP,Hybrid,39.0,45,34.4,30.5,39.5,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rates include managed care population (5 MCOs), representing more than 95 percent of the population. Rates exclude FFS and PCCM populations, representing less than 5 percent of the population. Rates also exclude managed care populations who met the continuous eligibility requirement for Medicaid or CHIP but who were not enrolled in a single plan during the continuous enrollment period. Denominator is the sample size; measure-eligible population is 33,595. Administrative data sources are claims/encounters and state immunization registry. Rates were validated by the state's EQRO.",Yes
Washington,Primary Care Access and Preventive Care,Child Core Set,Immunizations for Adolescents: Age 13,IMA-CH,Higher rates are better for this measure,Percentage Receiving Meningococcal Conjugate and Tdap Vaccines (Combination 1) by Their 13th Birthday,2019,Medicaid & CHIP,Hybrid,76.0,44,78.6,66.7,85.3,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rates include managed care population (5 MCOs), representing more than 95 percent of the population. Rates exclude FFS and PCCM populations, representing less than 5 percent of the population. Rates also exclude managed care populations who met the continuous eligibility requirement for Medicaid or CHIP but who were not enrolled in a single plan during the continuous enrollment period. Denominator is the sample size; measure-eligible population is 33,595. Administrative data sources are claims/encounters and state immunization registry. Rates were validated by the state's EQRO.",Yes
Washington,Primary Care Access and Preventive Care,Child Core Set,Weight Assessment and Counseling for Nutrition and Physical Activity for Children/Adolescents - Body Mass Index Assessment for Children/Adolescents: Ages 3 to 17,WCC-CH,Higher rates are better for this measure,Percentage who had an Outpatient Visit with a Primary Care Practitioner or Obstetrician/Gynecologist who had Body Mass Index Percentile Documented in the Medical Record: Ages 3 to 17,2019,Medicaid & CHIP,Hybrid,72.2,38,69.7,45.8,80,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rate includes managed care population (5 MCOs), representing more than 95 percent of the population. Rate excludes FFS and PCCM populations, representing less than 5 percent of the population. Rate also excludes managed care populations who met the continuous eligibility requirement for Medicaid or CHIP but who were not enrolled in a single plan during the continuous enrollment period. Denominator is the sample size; measure-eligible population is 405,295. Rate was validated by the state's EQRO.",Yes
Washington,Primary Care Access and Preventive Care,Child Core Set,Well-Child Visits in the First 15 Months of Life,W15-CH,Higher rates are better for this measure,Percentage who had 6 or More Well-Child Visits with a Primary Care Practitioner during the First 15 Months of Life,2019,Medicaid & CHIP,Hybrid,67.0,48,64,57.3,69.7,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rate includes managed care population (5 MCOs), representing more than 95 percent of the population. Rate excludes FFS and PCCM populations, representing less than 5 percent of the population. Rate also excludes managed care populations who met the continuous eligibility requirement for Medicaid or CHIP but who were not enrolled in a single plan during the continuous enrollment period. Denominator is the sample size; measure-eligible population is 30,332. Rate was validated by the state's EQRO.",Yes
Washington,Primary Care Access and Preventive Care,Child Core Set,"Well-Child Visits in the Third, Fourth, Fifth, and Sixth Years of Life",W34-CH,Higher rates are better for this measure,Percentage who had 1 or More Well-Child Visits with a Primary Care Practitioner: Ages 3 to 6,2019,Medicaid & CHIP,Hybrid,67.7,49,69,61.8,74.3,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rate includes managed care population (5 MCOs), representing more than 95 percent of the population. Rate excludes FFS and PCCM populations, representing less than 5 percent of the population. Rate also excludes managed care populations who met the continuous eligibility requirement for Medicaid or CHIP but who were not enrolled in a single plan during the continuous enrollment period. Denominator is the sample size; measure-eligible population is 147,583. Rate was validated by the state's EQRO.",Yes
West Virginia,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness: Ages 6 to 17,FUH-CH,Higher rates are better for this measure,Percentage of Hospitalizations for Mental Illness or Intentional Self-Harm with a Follow-Up Visit Within 7 Days after Discharge: Ages 6 to 17,2019,Medicaid only,Administrative,8.6,44,41.9,35,58.8,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Medicaid rates include FFS and managed care populations (4 MCOs).,Yes
West Virginia,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness: Ages 6 to 17,FUH-CH,Higher rates are better for this measure,Percentage of Hospitalizations for Mental Illness or Intentional Self-Harm with a Follow-Up Visit Within 30 Days after Discharge: Ages 6 to 17,2019,Medicaid only,Administrative,44.4,44,66.3,58.6,79.5,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Medicaid rates include FFS and managed care populations (4 MCOs).,Yes
West Virginia,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness: Ages 6 to 17,FUH-CH,Higher rates are better for this measure,Percentage of Hospitalizations for Mental Illness or Intentional Self-Harm with a Follow-Up Visit Within 7 Days after Discharge: Ages 6 to 17,2019,CHIP only,Administrative,3.0,44,41.9,35,58.8,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","CHIP rates include FFS population. Rates include paid claims only. Age was not determined on discharge date, but any time in the measurement period. State was not able to determine all Mental Health Practitioner credentials. State did not exclude discharges occurring in the last month of the measurement period. State excluded all discharges followed by a direct transfer to another acute care facility or readmissions for any diagnosis within 30 days of discharge. State did not apply continuous enrollment criteria. Rates were audited by the state’s data contractor.",No
West Virginia,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness: Ages 6 to 17,FUH-CH,Higher rates are better for this measure,Percentage of Hospitalizations for Mental Illness or Intentional Self-Harm with a Follow-Up Visit Within 30 Days after Discharge: Ages 6 to 17,2019,CHIP only,Administrative,3.0,44,66.3,58.6,79.5,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","CHIP rates include FFS population. Rates include paid claims only. Age was not determined on discharge date, but any time in the measurement period. State was not able to determine all Mental Health Practitioner credentials. State did not exclude discharges occurring in the last month of the measurement period. State excluded all discharges followed by a direct transfer to another acute care facility or readmissions for any diagnosis within 30 days of discharge. State did not apply continuous enrollment criteria. Rates were audited by the state’s data contractor.",No
West Virginia,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication: Ages 6 to 12,ADD-CH,Higher rates are better for this measure,Percentage Newly Prescribed ADHD Medication with 1 Follow-Up Visit During the 30-Day Initiation Phase: Ages 6 to 12,2019,Medicaid only,Administrative,34.4,40,48.6,41.9,55.8,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Medicaid rates include FFS and managed care populations (4 MCOs). State applied optional narcolepsy exclusion. Rates include paid claims only.,Yes
West Virginia,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication: Ages 6 to 12,ADD-CH,Higher rates are better for this measure,Percentage Newly Prescribed ADHD Medication with at Least 2 Follow-Up Visits in the 9 Months Following the Initiation Phase: Ages 6 to 12,2019,Medicaid only,Administrative,38.1,40,58.6,52,67.3,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Medicaid rates include FFS and managed care populations (4 MCOs). State applied optional narcolepsy exclusion. Rates include paid claims only.,Yes
West Virginia,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication: Ages 6 to 12,ADD-CH,Higher rates are better for this measure,Percentage Newly Prescribed ADHD Medication with 1 Follow-Up Visit During the 30-Day Initiation Phase: Ages 6 to 12,2019,CHIP only,Administrative,45.1,40,48.6,41.9,55.8,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",CHIP rates include FFS population. State applied optional narcolepsy exclusion. Rates include paid claims only. Rates were audited by the state's data contractor.,No
West Virginia,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication: Ages 6 to 12,ADD-CH,Higher rates are better for this measure,Percentage Newly Prescribed ADHD Medication with at Least 2 Follow-Up Visits in the 9 Months Following the Initiation Phase: Ages 6 to 12,2019,CHIP only,Administrative,45.5,40,58.6,52,67.3,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",CHIP rates include FFS population. State applied optional narcolepsy exclusion. Rates include paid claims only. Rates were audited by the state's data contractor.,No
West Virginia,Behavioral Health Care,Child Core Set,Use of First-Line Psychosocial Care for Children and Adolescents on Antipsychotics: Ages 1 to 17,APP-CH,Higher rates are better for this measure,Percentage who had a New Prescription for an Antipsychotic Medication and had Documentation of Psychosocial Care as First-Line Treatment: Ages 1 to 17,2019,Medicaid only,Administrative,45.3,29,62.8,57.2,69.4,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Medicaid rate includes FFS and managed care populations (4 MCOs). Rate includes paid claims only.,Yes
West Virginia,Behavioral Health Care,Child Core Set,Use of First-Line Psychosocial Care for Children and Adolescents on Antipsychotics: Ages 1 to 17,APP-CH,Higher rates are better for this measure,Percentage who had a New Prescription for an Antipsychotic Medication and had Documentation of Psychosocial Care as First-Line Treatment: Ages 1 to 17,2019,CHIP only,Administrative,#,29,62.8,57.2,69.4,# = Rate not reported because denominator is less than 30,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",CHIP rate includes FFS population. Rate includes paid claims only. Rate was audited by the state’s data contractor.,No
West Virginia,Behavioral Health Care,Child Core Set,Use of Multiple Concurrent Antipsychotics in Children and Adolescents: Ages 1 to 17,APC-CH,Lower rates are better for this measure,Percentage on Two or More Concurrent Antipsychotic Medications: Ages 1 to 17,2019,Medicaid only,Administrative,0.2,42,2.6,3.5,1.7,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Rate includes FFS and managed care populations (4 MCOs). Rate includes paid claims only.,Yes
West Virginia,Behavioral Health Care,Child Core Set,Use of Multiple Concurrent Antipsychotics in Children and Adolescents: Ages 1 to 17,APC-CH,Lower rates are better for this measure,Percentage on Two or More Concurrent Antipsychotic Medications: Ages 1 to 17,2019,CHIP only,NR,NR,42,2.6,3.5,1.7,NR = State did not report the measure for this population,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",None,
West Virginia,Care of Acute and Chronic Conditions,Child Core Set,Ambulatory Care: Emergency Department (ED) Visits: Ages 0 to 19,AMB-CH,Lower rates are better for this measure,"Emergency Department Visits per 1,000 Beneficiary Months: Ages 0 to 19",2019,Medicaid only,Administrative,50.1,47,43.6,50.1,37,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Medicaid rate includes FFS and managed care populations (4 MCOs). Rate includes paid claims only.,Yes
West Virginia,Care of Acute and Chronic Conditions,Child Core Set,Ambulatory Care: Emergency Department (ED) Visits: Ages 0 to 19,AMB-CH,Lower rates are better for this measure,"Emergency Department Visits per 1,000 Beneficiary Months: Ages 0 to 19",2019,CHIP only,Administrative,20.7,47,43.6,50.1,37,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",CHIP rate includes FFS population. Rate include paid claims only. Rate was audited by the state’s data contractor.,No
West Virginia,Dental and Oral Health Services,Child Core Set,Dental Sealants for 6-9 Year-Old Children at Elevated Caries Risk,SEAL-CH,Higher rates are better for this measure,Percentage at Elevated Risk of Dental Caries (Moderate or High Risk) who Received a Sealant on a Permanent First Molar Tooth: Ages 6 to 9,2019,Medicaid only,Administrative,19.1,35,22.7,19.1,25.3,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Medicaid rate includes FFS and managed care populations (4 MCOs).,Yes
West Virginia,Dental and Oral Health Services,Child Core Set,Dental Sealants for 6-9 Year-Old Children at Elevated Caries Risk,SEAL-CH,Higher rates are better for this measure,Percentage at Elevated Risk of Dental Caries (Moderate or High Risk) who Received a Sealant on a Permanent First Molar Tooth: Ages 6 to 9,2019,CHIP only,Administrative,23.0,35,22.7,19.1,25.3,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",CHIP rate includes FFS population. Rate was audited by the state’s data contractor.,No
West Virginia,Dental and Oral Health Services,Child Core Set,Percentage of Eligibles Who Received Preventive Dental Services: Ages 1 to 20,PDENT-CH,Higher rates are better for this measure,Percentage Enrolled in Medicaid or Medicaid Expansion CHIP Programs for at least 90 Continuous Days with at Least 1 Preventive Dental Service: Ages 1 to 20,2019,Medicaid only,Administrative,48.1,51,49.1,44.1,52.1,,"Mathematica analysis of FFY 2019 Form CMS-416 reports (annual EPSDT report), Lines 1b and 12b as of July 1, 2020.",None,Yes
